Neighborhood,Lat,Lon,Type
Bunker Hill,34.04768646419671,-118.25002199566127,Mexican Restaurant
Bunker Hill,34.05266106431324,-118.25307059000546,Italian Restaurant
Bunker Hill,34.05441,-118.255175,Pizza Place
Bunker Hill,34.04833895787276,-118.25116904099039,Mexican Restaurant
Bunker Hill,34.04891536275225,-118.25545475398008,French Restaurant
Bunker Hill,34.053523,-118.256094,Japanese Restaurant
Bunker Hill,34.04505850811889,-118.25676836301834,Restaurant
Bunker Hill,34.052089,-118.25806100000001,American Restaurant
Bunker Hill,34.05182384275727,-118.24601054191588,Construction & Landscaping
Bunker Hill,34.052405479537676,-118.25228827359848,Chinese Restaurant
Bunker Hill,34.051541,-118.25693899999999,Food
Bunker Hill,34.0509,-118.260002,Food
Bunker Hill,34.0543171973882,-118.24175235053629,Asian Restaurant
Bunker Hill,34.045991,-118.253121,Middle Eastern Restaurant
Bunker Hill,34.04898081163761,-118.25899818323984,Restaurant
Bunker Hill,34.050814,-118.24203,Japanese Restaurant
Bunker Hill,34.05702517252713,-118.23854560787346,Taco Place
Bunker Hill,34.050108,-118.25976,Food
Bunker Hill,34.049786,-118.241928,Food
Bunker Hill,34.06079832016405,-118.24429359451125,Mexican Restaurant
Bunker Hill,34.050035,-118.25878082042584,Japanese Restaurant
Bunker Hill,34.045507,-118.253702,Mexican Restaurant
Bunker Hill,34.048259,-118.25693799999999,Deli / Bodega
Bunker Hill,34.052236329657745,-118.24368255726505,Mexican Restaurant
Bunker Hill,34.0585706,-118.2391475,Mexican Restaurant
Bunker Hill,34.045825,-118.258397,Food
Bunker Hill,34.04913691009201,-118.25504948332834,Seafood Restaurant
Bunker Hill,34.050086932768785,-118.25662492491979,Roof Deck
Bunker Hill,34.0540192933691,-118.24723453769722,Concert Hall
Bunker Hill,34.053121999999995,-118.25733799999999,Taco Place
Bunker Hill,34.04543245467279,-118.25314724610114,Cafeteria
Bunker Hill,34.054621000000004,-118.26271000000001,Café
Bunker Hill,34.050022325252556,-118.24219778478704,Asian Restaurant
Bunker Hill,34.04768494041055,-118.25457241874592,Nightclub
Canoga Park,34.201534,-118.588935,Mexican Restaurant
Canoga Park,34.20117706568999,-118.60042640231511,Coffee Shop
